ID,Movie_ID,User_Name,Rating,Title,Content,,,,,,,,,,,,,,,,,,,
1,1,TheTopDawgCritic,8,Better than expected!,"For a B-grade film, this was surprisingly better than I expected. The acting was great by all cast members, the directing was on point, the writing was actually pretty good - without many plot issues one would normally expect, the cinematography perfect, the pacing was great, especially for the 107 min length, and the editing not too bad except for the flashbacks. My only critique was the terrible score, especially towards the last act. Had the score been more professional and consistent through out, the suspense would have been stellar instead of adequate. Overall an impressive film. A well deserved 8/10 from me.",,,,,,,,,,,,,,,,,,,
2,1,celestinoavilajr,8,Entertaining!,Good movie! Great plot! Edge of your seat twist and turns! Picture and acting qualities are excellent!.... If theirs anyone looking for good reviews and not sure of watching. Pay no mind to the bad reviews. If you like crime thrillers.. this is a good one!,,,,,,,,,,,,,,,,,,,
3,1,dave-mcclain,8,an expectedly good thriller,"Bad Samaritan"" R"," 151 is a thriller directed by actor-turned-producer Dean Devlin ""Geostorm"""," written by Brandon Boyce ""Wicker Park"" and starring television actor and erstwhile Dr. Who David Tennant. Theres a bit of horror in here too", but this film is primarily an intricately plotted thrill ride.The title character is named Sean Falco Irish actor Robert Sheehan, a young man whose step-father brought him and his mother to the U.S. because of a job opportunity for which Sean resents him. Sean is an aspiring photographer with a beautiful and intelligent college girlfriend named Riley Jacqueline Byers who knows nothing of Seans real passion - stealing. Sean and his best friend, Derek Carlito Olivero work as valets at an expensive Italian restaurant... which is where they choose their marks. As one of them mans the valet stand, the other uses the vehicles, GPS devices and garage door openers of their unsuspecting customers to rob the patrons homes," while theyre just trying to have a nice """,,,,,,,,,,,
216,9,jillvesta16,10,What the Heck 2,"This movie sat in its case patiently for several years, awaiting the fateful day when I popped it into my DVD player not having another movie to watch. Keep in mind that I hadnt seen the first installation of this fine franchise, but many questions started eating away at my brain from the outset, like Isnt this love story a little much? Why does Shrek have a weird accent? How come Shreks world seems very small? Why did people like these movies so much? Can we do something else? Needless to say, I popped the movie back out of my DVD player after about 10 minutes and havent watched it since.I just didnt get it.",,,,,,,,,,,,,,,,,,,
217,10,milareppa,9,Surprisingly Enjoyable,"I hate romantic comedies. I detest them. You can list the actors I avoid watching Hugh Grant, Sandra Bullock, Richard Gere, Julia Roberts. Romantic comedies make me cringe and I avoid them like the plague so you can imagine the foul mood I was in when I was forced to watch this film.And the introductory voice-over by Hugh Grant as we watch an airport full of people hugging made me want to commit an act of violence - either against the people who forced me to watch this film or against myself just to end the torture.Then the most unbelievably shocking thing happened. Bill Nighy and Gregor Fischer came on screen, mocking one of the most hated love songs in Britain, Love is all Around"" and I found myself getting sucked into the film.By the time I reached the end of the film I found myself facing the impossible"," there was one romantic comedy out there that genuinely is a comedy and actually likeable. No-one was more shocked than I.Many different kinds of love are covered although not all """,,,,,,,,,,,,,,,,,,
218,10,bzb2001,10,A deeply loving film rich in character,"It has been a long time since I have seen a movie so rich in character that I did not want it to end. Love Actually is not a love story, it is a story about love. Love that reinvents itself, multiplies itself, opens itself up, and even devastates.I am sure the film has its critics who say it drips in buttery corn. But when you are able to retreat inward and let it take you over, it is impossible not to feel. It is a rare treat - a film that makes you feel. During the process I was sad and happy and relieved. I was turned on, turned off, dizzy and grounded.I was in love one time and it reminded me of that. The power of cinema can be that amazing, it can be that intense. The title of the movie is, perhaps, meant to confuse. Yet I believe it is designed to ask. Love Actually is ... what?Is it lust? Or a deep appreciation of the past? Can it be conquered by language or political barriers? Race? Infidelity? Age? Can it be all of the above plus more? Maybe a mingling of several?It is rare fo",,,,,,,,,,,,,,,,,,,
219,10,clairerosemaryjane,8,A film for those who can cope with more than ,"This was a most intriguing film. There are of course other reviews of it here, but the one common theme that seems to exist in all reviews is the simple fact that you can never please all the people all of the time.For myself I loved the film and the way that all the stories were intertwined. You could spend ages just trying to work out where the various connections between the story lines actually were.But there were two very special moments for me in this film. One was where Mark Andrew Lincoln finally told JulietKeira Knightley  how he REALLY felt about her, through the medium of the messages on the cards, surely many of us have experienced that sort of unrequited love, the other was the brilliant brief speech given by the Prime Minister Hugh Grant to the press conference at which the American President was present. Both of these appear as quotes elsewhere on this site. I felt that it was a very brave move on the part of the writer Richard Curtis to allow the Prime Minister in the f",,,,,,,,,,,,,,,,,,,
220,10,jackburden,8,"A Holiday Fantasy Classic Yes, Fantasy - Nega","This movie does come off as a bit shallow, and it contains characters who are one- dimensional caricatures of themselves. But guess what  this movie is clearly in the romantic, holiday fantasy genre  just like Its a Wonderful Life and A Christmas Story are. And most people love those movies, so I dont get all the negative reviewing of this film. To me, this movie is clearly a fantasy piece, and as such it should not be subject to all the driveling negativity that would better be directed toward something terrible that masquerades as serious dramatic work. Would the British PM ever go knocking door to door with just one bodyguard? No Way! Do Londoners actually care what song is number one for Christmas"" more than Americans do?? Im seriously doubting it  who other than a few teenagers and record promoters actually cares about charts? This is clearly a work thats not to be taken as a ""serious"" movie"," though its seriously fun if youll take it for the fantasy that it is. I love this film. """,,,,,,,,,,,,,,,,,,
221,10,BrianWatchesMovies,10,A fabric woven of happy and sad threads,"What I appreciated most about Love Actually was that for the most part, it realistically looks at relationships happy and sad, successful and unsuccessful, with a future and without.  It addresses different forms and levels of love, sometimes straightforward and carefree, sometimes complex and contradictory.  There are schmaltzy happy moments and touching sad ones, moments of great strength and moments of foolish weakness.  The movie is made up of many threads, and of course some threads are stronger than others.The most interesting parts of Love Actually are the times when it addresses the tragic situations where love is self-sacrificing, contradictory, or fragile.  One characters unrequited love is revealed as a noble sacrifice made for anothers happiness the method of finally achieving closure and moving on, however, could only work in the movies.  Another character is shown to be caught between conflicting duties that will, we are led to believe, prevent her from ever being truly h",,,,,,,,,,,,,,,,,,,
222,10,Turambar-3,10,"Clever and delightful, actually.","This was a lovely script, and I was surprised I hadnt heard much about this movie before I caught it on HBO. I turned it on to keep myself company while working and ended up glued to the screen. I really enjoyed it.The movie is a series of vignettes about several different people that seemingly have no connection to one another, although by the end the connections are finally all present and accounted for. Theres a fair amount of subtle satire and a generous portion of irony; the characters are quite human and often dont do the right thing. I was caught off-guard by the incredibly successful results of the trip to America, but I laughed pretty hard and decided I wouldnt have written the script any other way. Not everyone ends up getting what they want, but then again thats love, er, actually. Nice little film.",,,,,,,,,,,,,,,,,,,
223,10,margaretnicora,9,Simply perfect,"It made me laugh, it made me cry, it made me smile, hug everyone, tell everyone how much I loved them!!! I think the music is the true soul of this movie. Cheers for the director!!! So many beautiful films hes been doing for so long!!! There was no need of marvelous photography, neither splendorous costume...but every detail was placed perfectly. Excellent actors and performances. It was a very good combination of experienced ones and some others one had never seen before. I liked very much how the director showed how open minded the English people are, by the way Liam Neeson talked to Sam and some other aspects on other dialogues as well related to sex It is remarkable also the way they mention the American society. Not criticizing the people and the culture, buy yes the government. CONGRATULATIONS ENGLAND!!!!",,,,,,,,,,,,,,,,,,,
224,10,AirBourne_Bds,10,The Ultimate Romantic Comedy Served in a Brit,"Any picture that can have me rooting for Rowan Atkinson who I usually detest as Bean, actually has to be very well-crafted for my part...Rowan was the Angel Of Conscience in the film he helped the son of the just-widowered Liam Neesons character by pass Customs to pursue true love of a little school-mate who happened to be a fine young Afro-American girlthis was where love did not know Race... Color-Blind, but he did everything to make Alan Rickman as the publisher think twice before he effed up his marriage for a bit of materialistic fluff! The gift-wrapping sequence in the department store was annoying, hilarious and Bean-esque all at the same time w/o conflicting.. Amazing!!Bill Nighy as the old rocker who discovered platonic love was marvelous; Hugh Grant brother of Rickmans wife in the flick as the goofy good PM who effed up Billy Bob Thorntons Bushy"" prez was superb and I liked the girl from EastEnders as his love interest"," it shows true love knows no class! Love knows no langua""",,,,,,,,,,,,,,,,,,
225,10,Michael101,1,Bravo Richard Curtis,Like most guys I would never have seen this movie on my own or with male friends. However my girlfriend was in town and I thought a romantic comedy would make an ideal movie for us to see together.I had heard about the reference to 9/11 made at the beginning of the movie and was dreading having to sit through that part. However I was pleasantly surprised to note that the reference was very minor and not particularly cringe worthy either so I am not quite sure why it annoyed some people so much.As regards to the movie overall I quite enjoyed it and would definitely recommend it as an ideal date film. A lot of the reviews here have disparaged the movie because they thought it was too glib about love and very unrealistic. But I think you have to accept that the movie was made to make people laugh and bring the spirit of love into the Christmas holiday period. If you watch the film in that context then it does its job admirably well.However for me the best moment in the film was the press ,,,,,,,,,,,,,,,,,,,
226,10,claudio_carvalho,1,Delightfull Homage to Love,"In London, from five weeks before Christmas up to a month after Christmas, the lives of different persons are linked by love. The Prime Minister Hugh Grant and the member of his household, Natalie Martine McCutcheon; his sister Karen Emma Thompson, her husband Harry Alam Rickman and Harrys secretary, Mia Heike Makatsch; Harrys employees, Sarah Laura Linney, a woman with a serious problem in her life, and the designer Karl Rodrigo Santoro; the writer Jamie Bennett Colin Firth and his Portuguese maid Aur̩lia L̼cia Moniz; the grieving widow Daniel Liam Neeson and his son, Sam; a porn actress and her colleague; the singer Billy Mack Billy Nighy and his manager; the just married couple Peter Chiwetel Ejiofor and Juliet Keira Knightley and their best man Mark Andrew Lincoln; a British young man that travels to USA, trying to score women in that country. Love Actually"" is a delightful homage to love. There are different situations", some of them dramatic, others funny," sometimes touching bu""",,,,,,,,,,,,,,,,
227,10,garcia-22,1,To believe again...,"Love Actually is movie that helps you see how life redefines it self.Common and extraordinary lives are mixed together with such good taste that you tend to believe that you were probably wrong the last time you were angry because of someone else doings.The cast gave us outstanding performances by Hugh Grant, Liam Neesom and Emma Thompson and characters the rock star and his manager are just persons to love!.Special chapter for the charming Keira Knightley that just have away herself... and that is to say probably a person very similar to the general and popular idea of what angels are.A movie just perfect to believe in love again.",,,,,,,,,,,,,,,,,,,
228,10,RSTLOUP,1,Crap Actually,"I had expected from this film a relatively undistinguished, harmless little romantic comedy. What instead unfolded was two-plus hours of the most unremitting, insulting, film clich̩s imaginable.The film consists of nine simultaneously-running subplots. Each subplot manages to be absurdly implausible, yet predictable at every turn. Among the worst One tracked a geeky fellow who was convinced that the way to turn his romantic life around was to impress American girls with his English accent. Each scene of that plot consisted of something like the following Im going off to the US"," where the chicks will think Im a coolly sophisticated Brit!"" His friend ""Youre crazy!""""California girls here I come!"" ""Stop!"" And so on.And on.In the ""payoff"" scene", at films end, he does, in fact," bag three hot American girls in a bar. Why this scene was worth endless repetition along the way is a mystery.Another similarly repetitive plot involved two people performing together in a porn film. They strike up """,,,,,,,,,,,,,,
229,10,nancy-292,10,Highly recommended - if you have no taste or ,"At first I was suckered in by this movie - cool British actors like Emma Thompson, swank shots of London, the British love/hate attitude towards America.But slowly, steadily, it began to dawn on me - this movie is incredibly bad and misogynistic to boot. By the end of the movie I was writhing with disgust at the waste of good acting talent and two hours of my life.I just saw it tonight on pay-per-view. Normally I wont pay for a movie unless I have a pretty good idea what its about and a good sense that Ill like it. I threw caution to the wind and rented this one without all that. HUGE mistake.Its the perfect movie for evolutionary psychologists. The successful pairings are older powerful men and younger women, or a young guy and 4 women, or young guy and porn star. If youre older, like Laura Linney, you get no sex with a hot hot man because your brothers a violent looney, and your entire life is dedicated to nurturing him, or youre older and married with kids, like Emma Thompson and yo",,,,,,,,,,,,,,,,,,,
230,10,nompular,1,Please tell me this was meant to be ironic...,"So.. is it just me or was anyone else greatly offended, if not outright appalled by everything this movie had to offer""? Not only was the acting simply awful with its cheesy lines and its predictable scenarios", but there were also so many different stories it made each one lose any meaning it might have had in the process. On another less general note, I was offended by the fact that Colin Firth only started to really find his Portuguese maid attractive once she stripped down to her underwear, Liam Neesons kid, right after his own mothers funeral, claimed he wasnt distraught over her at all - it was LOVE that was tormenting him," and the comment made by the father of the Portuguese maid to his other daughter - the ""fat"" one - saying ""oh shutup"," dunkin donut 3000"".... is this supposed to be funny? Because if it is", i think i may have lost hope in humanity forever. What would possess anyone to nominate this movie for not one," but TWO golden globes? There is far more to be said about this""",,,,,,,,,,
231,10,JackieBlu,1,"Misogynistic, actually. Smarmy too","Well now I know its true. And Im sad about it. British people arent smarter or funnier than Americans. Although a higher percentage of them might be able to spell the word p...a...n...d...e...r"".But who were they trying to pander to? It really ticks me off to market a film as a ""womens movie"" when every female character over 30 ends up sad", alone, or dead.Where to begin Well, the Liam Niessen story was unseemly. An eleven year old boys mother has just died, and hes left alone with his step dad," and the boys biggest concern is ""falling in love"" with a classmate? I know life goes on and all that", but honestly, life doesnt go on in this way, and I dont find the practice of projecting adult thoughts into eleven year old bodies humorous or poignant.And the bereaved husband, who is so torn up about losing his perfect wife that he cant complete her eulogy, ends the movie by falling in love with Claudia Schiffer. Perhaps this is realistic, if your wife dies," you should expect to end up with a""",,,,,,,
232,10,carolinejoy,1,Truly wonderful... recommend it to absolutely,"This film is truly wonderful.  I went to see it at the cinema twice and have watched the DVD 4 times since it was released.  The inter-twining relationships is nothing short of genius and the all-star cast are perfect. Bill Nighy and Emma Thompson without doubt play my favourite characters as the ageing rockstar and the betrayed housewife.  Hugh Grant is superb as the Prime Minister with a fantastic speech I would love Tony Blair to have given!!The opening and closing scenes at Heathrow Airport Arrivals made me cry, infact, I cried and laughed out loud at every viewing and have still not tired of it.I am astonished to see the bad reviews on the IMDB website - what a bunch of grumpy people there are out there!  When there is so much hatred and violence in our modern world, who wouldnt want to see some light-hearted, uplifting humour?I literally have nothing bad to say about it and would recommend it to absolutely everyone.",,,,,,,,,,,,,,,,,,,
233,10,Hail_Martini,10,Ridiculous,"I cannot believe that anyone who likes movies enough to post or even vote on IMDb would actually like Love Actually. After peeling my mangled body from the floor of my apartment I crawled to the phone and called every movie buff I know and warned them about this foul-smelling debacle. Expecting at least good acting in a movie I knew would be a sappy British comedy, after the sixty-minute mark I begged my girlfriend to let me turn it off. I didnt even notice the misogyny until after the smoke had cleared from my head after watching two hours of bad lines, worse plot, and disastrous humor. I felt like I had been drug all over London watching stupid people doing stupider sic things, and drugged on a never-ending storyline that, at rare intervals, might have required a teaspoon of creativity. The portrayal of women was also completely inappropriate. It was a class struggle throughout authoritative and powerful men and the lowly enamored women acting like theyre at a Beatles concert. If you",,,,,,,,,,,,,,,,,,,
234,10,bob_bear,1,"Tripe, actually","A stellar cast is drawn together for...what? For the biggest load of tripe Ive had the misfortune to sit through in a long time.Hmmm...Romantic COMEDY? Laugh...I thought Id never start - and I was not wrong. Not a chuckle, not a titter was raised. Humour of the middle-class dinner party variety doesnt work for me. Lame, obvious jokes and cartoon characters abound. Common as muck"" Natalie swears in front of the ""upper-crust"" Prime Minister and were supposed to find it funny? Charming? Believable??? PREPOSTEROUS?! LOVE? If Richard Curtis thinks his threadbare characterizations and superficial plot lines constitute or represent love in any meaningful way then he is bonkers"," actually.Utter rubbish. Disney for grown-ups.""",,,,,,,,,,,,,,,,,,
235,10,apavel-1,1,Repugnant Manipulative Saccharine Rubbish!,"Its films like this that makes you despise what cinema has become - a manipulative medium that contrives a formula to tap into your base emotions with a painting-by-numbers banality.  Richard Curtis uses every clich̩d, over-used, underdefined character from his big book of cardboard caricatures, then gets all his tired old thesp-chums to appear in it and churn out this sugar-sweet isnt-the-world-wonderful-even-when-you-think-it-isnt rubbish - and then has the audacity to stick it in the cinemas of the world and charge an entrance fee.  How long must we tolerate this self-indulgent travesty from a man who is the king of the dumbing-down rom-com.Notting Hill and Love Actually should forever be consigned to video bargain bucket hell.",,,,,,,,,,,,,,,,,,,
236,10,bernie_lockwood,1,They dont make them better than this...,"I really didnt know they made movies like this anymore... its been a long time since I could honestly say that here is a movie worth seeing, renting, owning. They really didnt leave anything out. They covered all their bases on this one. As a Romance Novel Reader, and as a Romance/Comedy Buff, I say I AM IMPRESSED. And I thank whoever wrote the script and hope hes a happy man, as he has made me happy every time I watch this. It made me laugh, and cry, and hope, and dream. There was love actually everywhere. Not to mention the fact that I am Portuguese and so did not need to read the subtitles to understand those beautiful scenes in Marseilles. How beautifully written this was!!! I applaud. My co-workers applaud, my family and friends to whom I recommended this movie to applaud...",,,,,,,,,,,,,,,,,,,
237,10,Skint111,1,One of the worst films ever made,"After seeing this I wanted to inflict actual bodily harm on Richard Curtis. Im not joking. I really, really did. Love Actually is the vilest, most ghastly, most putrid film I have ever seen. It is appalling. The nadir of Curtiss output, it is a toe-curling abomination. Where to start? What about the pure, undiluted cynicism of the enterprise, evident in everything from the music to the manipulative sentimentality to the use of children to the Christmas setting. Its a film with no heart, no structure, no sense, just a series of orchestrated, contrived scenes, augmented by the odd stale comic line eg Now I can only get into dresses that belonged to Pavarotti and utterly stupid improbabilities. To go through those would take way, way too long. And whats with the use of bad language in the most inappropriate of situations? Do not see this vomit-inducing turkey of a movie, especially in a couple if youre a man because it may well end your relationship, which would actually be quite ironic, ",,,,,,,,,,,,,,,,,,,
238,11,drono2,8,Very Pleasant Surprise...,"Just came from a sneak preview held in Baltimore and left the theater feeling very satisfied. You dont normally find a late September movie as good as Zombieland"" was. After dropping you in the action right from the start", the movie keeps coming with constant laughs and good action. There were not a lot of scares in the movie, other than the few obvious scenes where you could see one coming, but horror is not what the director was going for in this film. Laughs, however, come often and from many different directions. Jessie Eisenbergs nerdy, insecure Columbus character and Woody Harrelsons redneck zombie-killing Tallahassee play very well off each other and provide plenty of memorable moments. Emma Stone and Abigail Breslin are also solid throughout. There is also one unforgettable cameo that had most of the audience rolling in the aisles. The film has a simple, easy to follow storyline that does not provoke a lot of questions. Indeed," if you go to this movie expecting a lot of plot t""",,,,,,,,,,,
239,11,CANpatbuck3664,10,"Hilarious Dialogue, Fun Visuals and Some Brea","After Batman v Superman I wanted to go back and watch a movie where I was impressed with Jesse Eisenberg. Zombieland is one of my favourites, so it was an easy choice. They continue to talk about a Zombieland sequel today even though its been years since the original has been released. Id like to think thats how big of an impact it made it was a box office success but it didnt go over like gangbusters. Its probably too late for a sequel with the entire cast moving on and becoming industry headliners, but its okay though because well always have this one.Minor Spoilers Ahead Our main character is Columbus Jesse Eisenberg, since no one uses their real names in Zombieland. We get a brief window into the world as it is now, completely invaded by zombies. Columbus takes us through some of his rules on how he survived like #1 cardio, #2 double tap, #3 beware of bathrooms and #4 seat belts. We then join him in present day in Garland, Texas and he makes his escape utilizing those same rules he",,,,,,,,,,,,,,,,,,,
240,11,Apemangalore,9,Will undoubtedly become a cult classic,"Arguably one of the finest horror comedies of all time is Edgar Wrights Shaun of the Dead, and since its release in 04, there have been a good number of wannabes. Based on the trailers for Zombieland, however, I thought that the film had some serious potential to match Shaun in terms of quality, possibly even usurp it. Having seen the film, Im happy to say that Zombieland does just that.Unlike many comedies in recent memory, in which the majority of laughs are already provided by the trailer, Zombieland is filled to the brim with laugh-out-loud moments, thanks largely to the brilliant cast. Eisenberg is awesome as the main protagonist, Columbus, portraying that sense of vulnerability and awkwardness, without becoming too Michael Cera-like. Emma Stone and Abigail Breslin are also terrific as the sweet, yet tough Wichita and the more-mature-than-she-seems Little Rock, respectively. The real stand-out performance, though, is Woody Harrelson as the Twinkie-lovin, zombie-hatin Tallahassee. ",,,,,,,,,,,,,,,,,,,
241,11,jaypugh,9,Brilliantly crafted with laughs from beginnin,"I caught a sneak preview of Zombieland with a friend and was impressed to say the least.Zombieland has to have one of the flashiest openings in memory. There is no subtle build up. You are dropped right into Zombieland as Columbus Jesse Eisenberg begins listing the rules to survival. Of course each rule gives you a hysterical example of why the rule is in place. Anything that has been taboo for horror films at one time is met head on. I wont list each as not to spoil the movie but Zombieland has a unique ability to make almost anything seem comical. This includes the fact that for some reason it seems that every zombie in Zombieland has a blood belching problem. Literally every zombie has blood spewing from their mouth. This is captured best in the intro as you almost feel like you are supposed to have the 3D glasses in place.Columbus is funny enough with his phobias and geek lifestyle that proves to be what keeps him alive but it isnt until he meets Tallahassee Woody Harrelson, that t",,,,,,,,,,,,,,,,,,,
242,11,Cinemadharma,8,Visually stylish & polished - Easily the most,"The name Zombieland conjures up a vision of a zombie-themed amusement park  and thats exactly what this film is. Visually stylish and the most laughs Ive had at the movies in a long time. A really solid script and nice underlying story really helps make this so much more than just a bunch of awesome zombie kills. That being said, this film feels as if youre playing a really badass zombie killing video game.Thanks to Natural Born Killers, Woody Harrelson has just the right cult status and persona for this type of film, which is intended to pay homage to the great zombie B movies of yesteryear, but really is a great zombie A movie with todays style & sensibility. Jesse Eisenberg who has a certain Michael Cera shyness/eccentricity to his delivery, but doesnt seem nearly as pathetic as Ceras characters often come off carries the film well. And of course, everyone is talking about the films secret cameo, and rightly so. It is absolutely the best and most fun part of an already awesomely fun",,,,,,,,,,,,,,,,,,,
243,11,akerdan,7,Actually quite fun,"I just was exiting the theater after seeing 9, which is also worth a look, when my friend and I were offered tickets to a preview screening of Zombieland, which began almost immediately. I had seen previews for this picture, but Id say this exceeded my expectations, which isnt to say masterpiece, but it was certainly entertaining, and at about 90 minutes, didnt really overstay its welcome. As you might expect for this genre, its quite gory, so dont go expecting a light R rating. But if you can handle some bloodshed, no, make that a substantial amount of bloodshed - but perhaps I should add in a comic environment - theres some pretty funny stuff here. Woody Harreleson and Jesse Eisenberg make an amusing odd couple and Emma Stone was fine for this material, although she and Abigale Breslin had slightly less to do. Im certainly no expert on the horror genre or the zombie sub-genre, but I can say that this wasnt as scary as Shaun of the Dead, in fact not very scary at all, I may have jumpe",,,,,,,,,,,,,,,,,,,
244,11,the-movie-guy,7,Zombieland is a horror comedy at its best,"Synopsis The entire world is hit with an apocalyptic infection that turns people into zombies once they have been bitten by an infected zombie. Columbus Jesse Eisenberg is a young geek who has a lot of phobias about almost everything from clowns, to bathrooms, to checking the back seat of cars. Being alone and scared of the outside world has kept him alive. His new fear is being eaten by zombies. To survive, Columbus has begun making a long list of rules to survive. Each time he gives you one of his rules, you see an example of his rule in action. He decides to go home to Columbus to see if his parents are still alive. Along the highway, he meets Tallahassee Woody Harrelson a redneck zombie killer who loves Twinkies. They team up and head for Tallahassee. On the way they meet and join forces with two girls, Wichita Emma Stone and Little Rock Abagail Breslin. They may be the last surviving people on earth, and they must rely on each other to survive.My Comment Zombieland is a horror com",,,,,,,,,,,,,,,,,,,
245,11,GirishGowda,9,Rule #17 Dont Be A Hero!!,"Columbus Jesse Eisenberg is a regular boy with regular gaming addiction, but has serious people phobia & never had any friends in his life & is afraid most of the times. One day, due to the spread of an incurable virus, the whole of USA is over-run by zombies. He wants to see his parents in Columbus & during his journey meets up with Tallahassee Woody Harrelson who loves to kill zombies. They are conned by a pair of sisters Wichita Emma Stone & Little Rock Abigail Breslin. All of them become friends over their crazy journey across America.I seriously loved this film. The comedy is great, we care about the characters, the zombies are gross & the dialogues are seriously cool. This became one of my favourite comedy films of all time, as the character development is strong & there are laughs all the way through. This film has something which lots of films in this genre are missing, it has heart. The characters are warm & the little drama it has is very sincere.The standout performance come",,,,,,,,,,,,,,,,,,,
246,11,KillerK1991,8,Americas answer to Shaun of the Dead.,"This film was a fun ride all the way through. Its lack of scarinessnon existent and GASP! gore is more than made up for with the constant flow of hilarity and likable characters. This is by far the optimists zombie film, as the way things play out are definitely different than any one thats come before itdefinitely not a Romero flick, though I think his Land of the Dead actually is second place in this regard. It has a sleek, very modern sense of style-just watch for how each rule makes its appearance/reappearance and a good message on the importance of others in the worst of times. I recommend this to anybody who has a remote interest in comedies, zombie/end of the world flicks, or just having a good time at the theater, and look forward to seeing it again when it comes out.",,,,,,,,,,,,,,,,,,,
247,11,zofos,5,Good Fun But More Toothless Than Ruthless,"Its the zombie apocalypse. We meet Columbus, our nervous, nerdy, young hero filling up his car. In voice-over, he gives us a quick rundown of his rules of survival and then demonstrates them when hes attacked by two zombies in a car park.On a deserted highway strewn with the detritus of the old world that once existed, Columbus runs into the crazy but dumb Tallahassee the characters call themselves after the place they come from so they dont get too close to one another. Played by Woody Harrelson, he clearly is having a great time with his role. Without his charm, the film would really suffer as the younger actors dont bring a lot to the party.Later on, they meet two double-crossing sisters the older one played by a deep-voiced, huge-eyed Lindsay Lohan lookalike, the younger one played by Little Miss Sunshines Abigail Breslin. These characters are so selfish, mean-spirited and ultimately stupid that its hard to feel anything for them. The romance between Columbus and Wichita at the end",,,,,,,,,,,,,,,,,,,
248,11,radivel,9,A new style of comedy!,"Zombieland is hardly a plot-heavy and dramatic masterpiece, but it IS very, very funny, and not funny in a way youre used to seeing in a comedy.There are very few jokes made, the humor is more from people doing things that people might normally do, just filmed very well in a humorous fashion.Oh, and the movie has lots of zombies and other awesome stuff that surround this entire idea of having every situation be the biggest What the frack?!"" you can possibly imagine.The small cast was obviously having a great time when they made it", and all four characters did a very good job of fitting with the style of the movie.Lastly, while the whole movie is hilarious, one scene in particular will have you in fits, one of the funniest single little scenes Ive ever seen. But," no spoilers here!""",,,,,,,,,,,,,,
249,11,Spikeopath,9,"Ive never hit a kid before. I mean, thats lik","Zombieland is directed by Ruben Fleischer from a screenplay written by Rhett Reese and Paul Wernick. The film stars Jesse Eisenberg, Woody Harrelson, Emma Stone, and Abigail Breslin as survivors of a Zombie apocalypse thrust together on a road trip in search of a fabled Zombieless sanctuary.As it stands now, Zombieland is the most successful Zombie based film in history. Proving that there is still life no pun intended in the undead based comedy. Reese and Wernick have stated that the idea for Zombieland was milling around their heads in 2005, a year after Shaun Of the Dead had made such a joyous appearance on the horror/com circuit. You get the feeling that the guys desperately wanted an American version to rival the British torch bearer. They got it.Where Zombieland differs greatly from Shaun is that it unashamedly lives in a cartoon fantasy world. It blasts right out of the blocks with a montage sequence of death, dismemberment, crash, bangs and wallops, and never lets up on its car",,,,,,,,,,,,,,,,,,,
250,11,blackmambamark,8,The most fun i have had at the theatre in a l,"I mean come on, who doesnt think about what they would do if zombies took over the world. Its a fun, yet serious question to think about. Most movies have it right, by taking the serious side of things. But what if we take a video game approach and just run around killing everyone of them? Uh.......you can more than sign me up for this one. OK, lets face the honest question.......if your some little prissy girl who does not like or does not appreciate zombie films.......then this is the wrong movie for you. This movie takes everything you have learned from all those movies, and puts a comedic spin on it. I mean come on, a zombie stripper wearing nipple tasles running in slow motion.....how could anyone not want to see that? The movie is very basic in its groundwork, but excels in its humor and character drive. Woody is basically a zombie film buffs wet dream. A hoosier red neck who wants to just kill zombies for the rest of his life. Now i must admit, towards the middle of the movie, i",,,,,,,,,,,,,,,,,,,
251,11,kellyfacebook1,5,If you wanna watch a zombie comedy like Shaun,"If you fancy watching a film about Zombies then something called Zombieland"" would feel like the best course of action. Unfortunately though Zombieland is very far from the rom-zom-com its emulating", i.e. Shaun of the Dead. Shaun of the Dead had a great love and affection for this genre and played to it beautifully, interweaving sharp comedy with drama. Zombieland attempts this but ends up being a teen road movie that just happens to be set after the zombie apocalypse and I did not want to see a teen road movie. Dont get me wrong there are some good moments and the film starts off quite promising. However after Columbus Eisenbergand Tallehasse Harrelson meet the two girls its begins to lose its shine. The real problem with this film though is the poor writing. For a start the two girls are instantly unlikeable and the sudden attraction Columbus has for Wichita seem tacked on. Tallahasees search for Twinkie think thats how you spell it," Im British so theyre not well known over here scr""",,,,,,,,,,,,,,,,
252,11,gbill-74877,8,Very entertaining,"There is some probably requisite violence in this zombie thriller, but its also got humor, some nice touches in editing, and its very entertaining. The cast is fantastic, with Woody Harrelson, Emma Stone, Jesse Eisenberg, and Abigail Breslin all turning in performances perfectly tuned to the genre. The scenes with Bill Murray are all very funny, and one part in particular is absolutely hilarious, but I wont spoil it. Eisenberg channels Woody Allen at times with his shy awkwardness. Trying to do both comedy and horror is difficult, but director Ruben Fleischer really pulls it off. This is a fun movie to watch.",,,,,,,,,,,,,,,,,,,
